2003,233976
2004,302923
2005,181327
2006,84924
2007,850790
2008,2399184
2009,1281143
2010,693111
2011,538965
2012,2321117
2013,1535446
2014,294711
2015,40814
2016,65930
2017,36030
2018,30821
2019,5000
2020,25936
2021,317308
2022,37298
2023,30669
