2.003000000000000000e+03,1.274266292134831247e+01
2.004000000000000000e+03,1.210770786516849284e+01
2.005000000000000000e+03,1.234624719101117307e+01
2.006000000000000000e+03,1.278417977528101801e+01
2.007000000000000000e+03,1.187595505617969138e+01
2.008000000000000000e+03,1.093212359550557267e+01
2.009000000000000000e+03,1.158969662921350618e+01
2.010000000000000000e+03,1.203124719101134588e+01
2.011000000000000000e+03,1.158231460674153368e+01
2.012000000000000000e+03,1.124586516853952389e+01
2.013000000000000000e+03,1.217885393258427484e+01
2.014000000000000000e+03,1.180949438202247848e+01
2.015000000000000000e+03,1.456569662921344843e+01
2.016000000000000000e+03,1.321578651685393879e+01
2.017000000000000000e+03,1.216003370786506821e+01
2.018000000000000000e+03,1.315211235955052871e+01
2.019000000000000000e+03,1.310253749999998263e+01
2.020000000000000000e+03,1.239221518987346826e+01
2.021000000000000000e+03,1.150783116883110324e+01
2.022000000000000000e+03,1.187171250000000100e+01
2.023000000000000000e+03,1.186275000000006230e+01
